dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,sum_sines
0.671875,0.390625,0.328125,0.171875,0.515625,0.046875,0.921875,0.546875,0.859375,0.421875,4.520119237323133
0.171875,0.890625,0.828125,0.671875,0.015625,0.546875,0.421875,0.046875,0.359375,0.921875,4.44801412477769
0.234375,0.078125,0.265625,0.984375,0.703125,0.734375,0.734375,0.359375,0.046875,0.359375,4.142807182299064
0.734375,0.578125,0.765625,0.484375,0.203125,0.234375,0.234375,0.859375,0.546875,0.859375,5.076312187178436
0.984375,0.328125,0.015625,0.734375,0.453125,0.484375,0.984375,0.609375,0.796875,0.609375,5.437187320828754
0.484375,0.828125,0.515625,0.234375,0.953125,0.984375,0.484375,0.109375,0.296875,0.109375,4.5522923139527744
0.359375,0.453125,0.890625,0.109375,0.828125,0.609375,0.859375,0.734375,0.921875,0.984375,6.042328861740952
0.859375,0.953125,0.390625,0.609375,0.328125,0.109375,0.359375,0.234375,0.421875,0.484375,4.4162625670016835
0.609375,0.203125,0.640625,0.359375,0.078125,0.359375,0.609375,0.484375,0.171875,0.234375,3.594482331417017
0.109375,0.703125,0.140625,0.859375,0.578125,0.859375,0.109375,0.984375,0.671875,0.734375,5.191908974532966
0.078125,0.234375,0.796875,0.140625,0.421875,0.078125,0.265625,0.453125,0.515625,0.140625,2.9866657147987077
0.578125,0.734375,0.296875,0.640625,0.921875,0.578125,0.765625,0.953125,0.015625,0.640625,5.571536720263132
0.828125,0.484375,0.546875,0.390625,0.671875,0.828125,0.015625,0.703125,0.265625,0.890625,5.164432634898134
0.328125,0.984375,0.046875,0.890625,0.171875,0.328125,0.515625,0.203125,0.765625,0.390625,4.2413803709397655
0.453125,0.359375,0.421875,0.765625,0.046875,0.203125,0.140625,0.578125,0.390625,0.515625,3.700976609729536
0.953125,0.859375,0.921875,0.265625,0.546875,0.703125,0.640625,0.078125,0.890625,0.015625,5.267369204581318
0.703125,0.109375,0.171875,0.515625,0.796875,0.953125,0.390625,0.328125,0.640625,0.265625,4.513519180982626
0.203125,0.609375,0.671875,0.015625,0.296875,0.453125,0.890625,0.828125,0.140625,0.765625,4.4897550618755
0.140625,0.421875,0.234375,0.328125,0.984375,0.265625,0.203125,0.515625,0.453125,0.453125,3.769940641768674
0.640625,0.921875,0.734375,0.828125,0.484375,0.765625,0.703125,0.015625,0.953125,0.953125,6.252551518428864
0.890625,0.171875,0.484375,0.078125,0.234375,0.515625,0.453125,0.265625,0.703125,0.703125,4.211008744442171
0.390625,0.671875,0.984375,0.578125,0.734375,0.015625,0.953125,0.765625,0.203125,0.203125,4.980028853667966
0.265625,0.046875,0.609375,0.703125,0.609375,0.390625,0.328125,0.390625,0.578125,0.828125,4.467605779571486
0.765625,0.546875,0.109375,0.203125,0.109375,0.890625,0.828125,0.890625,0.078125,0.328125,4.324962267724345
0.515625,0.296875,0.859375,0.953125,0.359375,0.640625,0.078125,0.640625,0.328125,0.078125,4.3837181902840845
0.015625,0.796875,0.359375,0.453125,0.859375,0.140625,0.578125,0.140625,0.828125,0.578125,4.3875987620337575
0.0234375,0.3984375,0.8203125,0.8359375,0.6484375,0.4453125,0.6640625,0.2109375,0.7421875,0.1171875,4.537899178286414
0.5234375,0.8984375,0.3203125,0.3359375,0.1484375,0.9453125,0.1640625,0.7109375,0.2421875,0.6171875,4.519748169605175
0.7734375,0.1484375,0.5703125,0.5859375,0.3984375,0.6953125,0.9140625,0.9609375,0.4921875,0.8671875,5.814758579234012
0.2734375,0.6484375,0.0703125,0.0859375,0.8984375,0.1953125,0.4140625,0.4609375,0.9921875,0.3671875,4.049834597430248
0.3984375,0.0234375,0.4453125,0.2109375,0.7734375,0.3203125,0.7890625,0.8359375,0.3671875,0.7421875,4.551504873208895
0.8984375,0.5234375,0.9453125,0.7109375,0.2734375,0.8203125,0.2890625,0.3359375,0.8671875,0.2421875,5.363888560900661
0.6484375,0.2734375,0.1953125,0.4609375,0.0234375,0.5703125,0.5390625,0.0859375,0.6171875,0.4921875,3.726638258586531
0.1484375,0.7734375,0.6953125,0.9609375,0.5234375,0.0703125,0.0390625,0.5859375,0.1171875,0.9921875,4.42313815720267
0.2109375,0.2109375,0.1328125,0.6484375,0.2109375,0.1328125,0.8515625,0.7734375,0.3046875,0.3046875,3.54781652776786
0.7109375,0.7109375,0.6328125,0.1484375,0.7109375,0.6328125,0.3515625,0.2734375,0.8046875,0.8046875,5.343992342407366
0.9609375,0.4609375,0.3828125,0.8984375,0.9609375,0.8828125,0.6015625,0.0234375,0.5546875,0.5546875,5.6553811856463785
0.4609375,0.9609375,0.8828125,0.3984375,0.4609375,0.3828125,0.1015625,0.5234375,0.0546875,0.0546875,3.9539110015654346
0.3359375,0.3359375,0.5078125,0.2734375,0.3359375,0.0078125,0.7265625,0.1484375,0.6796875,0.9296875,3.995265658218964
0.8359375,0.8359375,0.0078125,0.7734375,0.8359375,0.5078125,0.2265625,0.6484375,0.1796875,0.4296875,4.842334391282735
0.5859375,0.0859375,0.7578125,0.0234375,0.5859375,0.7578125,0.9765625,0.8984375,0.4296875,0.1796875,4.796138277408527
0.0859375,0.5859375,0.2578125,0.5234375,0.0859375,0.2578125,0.4765625,0.3984375,0.9296875,0.6796875,4.011125709963602
0.1171875,0.1171875,0.6640625,0.4921875,0.9296875,0.5390625,0.1328125,0.9296875,0.7734375,0.2109375,4.479310783481818
0.6171875,0.6171875,0.1640625,0.9921875,0.4296875,0.0390625,0.6328125,0.4296875,0.2734375,0.7109375,4.54426768776896
0.8671875,0.3671875,0.9140625,0.2421875,0.1796875,0.2890625,0.3828125,0.1796875,0.0234375,0.9609375,4.012514672904626
0.3671875,0.8671875,0.4140625,0.7421875,0.6796875,0.7890625,0.8828125,0.6796875,0.5234375,0.4609375,5.88370691567426
0.4921875,0.4921875,0.0390625,0.6171875,0.5546875,0.6640625,0.2578125,0.0546875,0.1484375,0.5859375,3.716404880087621
0.9921875,0.9921875,0.5390625,0.1171875,0.0546875,0.1640625,0.7578125,0.5546875,0.6484375,0.0859375,4.426472783814695
0.7421875,0.2421875,0.2890625,0.8671875,0.3046875,0.4140625,0.0078125,0.8046875,0.8984375,0.3359375,4.506057086968484
0.2421875,0.7421875,0.7890625,0.3671875,0.8046875,0.9140625,0.5078125,0.3046875,0.3984375,0.8359375,5.413184225158488
0.1796875,0.3046875,0.3515625,0.0546875,0.4921875,0.8515625,0.3203125,0.1171875,0.2109375,0.3984375,3.13174624133563
0.6796875,0.8046875,0.8515625,0.5546875,0.9921875,0.3515625,0.8203125,0.6171875,0.7109375,0.8984375,6.554743756350217
0.9296875,0.0546875,0.1015625,0.3046875,0.7421875,0.1015625,0.0703125,0.8671875,0.9609375,0.6484375,4.291203670372339
0.4296875,0.5546875,0.6015625,0.8046875,0.2421875,0.6015625,0.5703125,0.3671875,0.4609375,0.1484375,4.527135928082978
0.3046875,0.1796875,0.9765625,0.9296875,0.1171875,0.9765625,0.1953125,0.9921875,0.8359375,0.7734375,5.52604683686972
0.8046875,0.6796875,0.4765625,0.4296875,0.6171875,0.4765625,0.6953125,0.4921875,0.3359375,0.2734375,4.974826906904166
0.5546875,0.4296875,0.7265625,0.6796875,0.8671875,0.2265625,0.4453125,0.2421875,0.0859375,0.0234375,4.003094020401845
0.0546875,0.9296875,0.2265625,0.1796875,0.3671875,0.7265625,0.9453125,0.7421875,0.5859375,0.5234375,4.82216334484189
0.0390625,0.1328125,0.3984375,0.3515625,0.5078125,0.6171875,0.3984375,0.6015625,0.2578125,0.0703125,3.2479602319862075
0.5390625,0.6328125,0.8984375,0.8515625,0.0078125,0.1171875,0.8984375,0.1015625,0.7578125,0.5703125,4.875115961549453
0.7890625,0.3828125,0.1484375,0.1015625,0.2578125,0.3671875,0.1484375,0.3515625,0.5078125,0.8203125,3.656346846556082
0.2890625,0.8828125,0.6484375,0.6015625,0.7578125,0.8671875,0.6484375,0.8515625,0.0078125,0.3203125,5.356229379576491
0.4140625,0.2578125,0.7734375,0.7265625,0.8828125,0.7421875,0.0234375,0.4765625,0.6328125,0.6953125,5.182833596601539
0.9140625,0.7578125,0.2734375,0.2265625,0.3828125,0.2421875,0.5234375,0.9765625,0.1328125,0.1953125,4.242288051247909
0.6640625,0.0078125,0.5234375,0.9765625,0.1328125,0.4921875,0.2734375,0.7265625,0.3828125,0.4453125,4.2961666058766985
0.1640625,0.5078125,0.0234375,0.4765625,0.6328125,0.9921875,0.7734375,0.2265625,0.8828125,0.9453125,5.066832343102239
0.2265625,0.4453125,0.5859375,0.1640625,0.0703125,0.8046875,0.0859375,0.4140625,0.6953125,0.2578125,3.5463009334961413
0.7265625,0.9453125,0.0859375,0.6640625,0.5703125,0.3046875,0.5859375,0.9140625,0.1953125,0.7578125,5.243405816402102
0.9765625,0.1953125,0.8359375,0.4140625,0.8203125,0.0546875,0.3359375,0.6640625,0.4453125,0.5078125,4.815909699186315
0.4765625,0.6953125,0.3359375,0.9140625,0.3203125,0.5546875,0.8359375,0.1640625,0.9453125,0.0078125,4.786283931169262
0.3515625,0.0703125,0.2109375,0.7890625,0.4453125,0.9296875,0.4609375,0.5390625,0.3203125,0.8828125,4.611373179963828
0.8515625,0.5703125,0.7109375,0.2890625,0.9453125,0.4296875,0.9609375,0.0390625,0.8203125,0.3828125,5.420741997791269
0.6015625,0.3203125,0.4609375,0.5390625,0.6953125,0.1796875,0.2109375,0.2890625,0.5703125,0.1328125,3.825009683829126
0.1015625,0.8203125,0.9609375,0.0390625,0.1953125,0.6796875,0.7109375,0.7890625,0.0703125,0.6328125,4.538058665802868
0.0703125,0.3515625,0.1171875,0.9453125,0.7890625,0.3984375,0.9296875,0.2578125,0.2265625,0.2265625,3.9455484028689853
0.5703125,0.8515625,0.6171875,0.4453125,0.2890625,0.8984375,0.4296875,0.7578125,0.7265625,0.7265625,5.80162729504997
0.8203125,0.1015625,0.3671875,0.6953125,0.0390625,0.6484375,0.6796875,0.5078125,0.9765625,0.9765625,5.247330947767075
0.3203125,0.6015625,0.8671875,0.1953125,0.5390625,0.1484375,0.1796875,0.0078125,0.4765625,0.4765625,3.6025940068071196
0.4453125,0.2265625,0.7421875,0.0703125,0.6640625,0.2734375,0.5546875,0.6328125,0.8515625,0.6015625,4.724224114195273
0.9453125,0.7265625,0.2421875,0.5703125,0.1640625,0.7734375,0.0546875,0.1328125,0.3515625,0.1015625,3.7494682919372275
0.6953125,0.4765625,0.9921875,0.3203125,0.4140625,0.5234375,0.8046875,0.3828125,0.1015625,0.3515625,4.693530432628925
0.1953125,0.9765625,0.4921875,0.8203125,0.9140625,0.0234375,0.3046875,0.8828125,0.6015625,0.8515625,5.432755552583924
0.1328125,0.0390625,0.9296875,0.5078125,0.3515625,0.2109375,0.6171875,0.6953125,0.7890625,0.4140625,4.344311055897165
0.6328125,0.5390625,0.4296875,0.0078125,0.8515625,0.7109375,0.1171875,0.1953125,0.2890625,0.9140625,4.322037849020443
0.8828125,0.2890625,0.6796875,0.7578125,0.6015625,0.9609375,0.8671875,0.4453125,0.0390625,0.6640625,5.607751997325788
0.3828125,0.7890625,0.1796875,0.2578125,0.1015625,0.4609375,0.3671875,0.9453125,0.5390625,0.1640625,3.9094189257593093
0.2578125,0.4140625,0.3046875,0.3828125,0.2265625,0.0859375,0.9921875,0.3203125,0.1640625,0.7890625,3.6663927243225043
0.7578125,0.9140625,0.8046875,0.8828125,0.7265625,0.5859375,0.4921875,0.8203125,0.6640625,0.2890625,6.295040238344967
0.5078125,0.1640625,0.0546875,0.1328125,0.9765625,0.8359375,0.7421875,0.5703125,0.9140625,0.0390625,4.454020140047008
0.0078125,0.6640625,0.5546875,0.6328125,0.4765625,0.3359375,0.2421875,0.0703125,0.4140625,0.5390625,3.7563529808049996
0.01171875,0.33203125,0.29296875,0.19140625,0.90234375,0.67578125,0.86328125,0.24609375,0.10546875,0.81640625,4.064565859717855
0.51171875,0.83203125,0.79296875,0.69140625,0.40234375,0.17578125,0.36328125,0.74609375,0.60546875,0.31640625,5.059910883808581
0.76171875,0.08203125,0.04296875,0.44140625,0.15234375,0.42578125,0.61328125,0.99609375,0.85546875,0.06640625,4.043203702357376
0.26171875,0.58203125,0.54296875,0.94140625,0.65234375,0.92578125,0.11328125,0.49609375,0.35546875,0.56640625,5.013336818779781
0.38671875,0.20703125,0.91796875,0.81640625,0.52734375,0.55078125,0.73828125,0.87109375,0.98046875,0.44140625,5.828379760382409
0.88671875,0.70703125,0.41796875,0.31640625,0.02734375,0.05078125,0.23828125,0.37109375,0.48046875,0.94140625,4.088989050470927
0.63671875,0.45703125,0.66796875,0.56640625,0.27734375,0.30078125,0.98828125,0.12109375,0.23046875,0.69140625,4.583844982742424
0.13671875,0.95703125,0.16796875,0.06640625,0.77734375,0.80078125,0.48828125,0.62109375,0.73046875,0.19140625,4.51509697362428
0.19921875,0.01953125,0.73046875,0.25390625,0.46484375,0.98828125,0.67578125,0.80859375,0.91796875,0.50390625,5.045247400874295
0.69921875,0.51953125,0.23046875,0.75390625,0.96484375,0.48828125,0.17578125,0.30859375,0.41796875,0.00390625,4.2324951458916695
0.94921875,0.26953125,0.98046875,0.00390625,0.71484375,0.23828125,0.92578125,0.05859375,0.16796875,0.25390625,4.081455133938689
0.44921875,0.76953125,0.48046875,0.50390625,0.21484375,0.73828125,0.42578125,0.55859375,0.66796875,0.75390625,5.2082287546275134
0.32421875,0.39453125,0.10546875,0.62890625,0.08984375,0.86328125,0.80078125,0.18359375,0.04296875,0.12890625,3.318149345321165
0.82421875,0.89453125,0.60546875,0.12890625,0.58984375,0.36328125,0.30078125,0.68359375,0.54296875,0.62890625,5.15599525266936
0.57421875,0.14453125,0.35546875,0.87890625,0.83984375,0.11328125,0.55078125,0.93359375,0.79296875,0.87890625,5.47245445736789
0.07421875,0.64453125,0.85546875,0.37890625,0.33984375,0.61328125,0.05078125,0.43359375,0.29296875,0.37890625,3.8382454005260795
0.10546875,0.17578125,0.19921875,0.59765625,0.68359375,0.33203125,0.33203125,0.90234375,0.38671875,0.97265625,4.312589788216915
0.60546875,0.67578125,0.69921875,0.09765625,0.18359375,0.83203125,0.83203125,0.40234375,0.88671875,0.47265625,5.218772383052836
0.85546875,0.42578125,0.44921875,0.84765625,0.43359375,0.58203125,0.08203125,0.15234375,0.63671875,0.22265625,4.37083670973369
0.35546875,0.92578125,0.94921875,0.34765625,0.93359375,0.08203125,0.58203125,0.65234375,0.13671875,0.72265625,5.140924071419736
0.48046875,0.30078125,0.57421875,0.47265625,0.80859375,0.45703125,0.20703125,0.02734375,0.51171875,0.34765625,3.9847637121905333
0.98046875,0.80078125,0.07421875,0.97265625,0.30859375,0.95703125,0.70703125,0.52734375,0.01171875,0.84765625,5.484667239891477
0.73046875,0.05078125,0.82421875,0.22265625,0.05859375,0.70703125,0.45703125,0.77734375,0.26171875,0.59765625,4.345078819315968
0.23046875,0.55078125,0.32421875,0.72265625,0.55859375,0.20703125,0.95703125,0.27734375,0.76171875,0.09765625,4.34623888817218
0.16796875,0.48828125,0.76171875,0.91015625,0.24609375,0.01953125,0.14453125,0.08984375,0.57421875,0.66015625,3.7693726586611147
0.66796875,0.98828125,0.26171875,0.41015625,0.74609375,0.51953125,0.64453125,0.58984375,0.07421875,0.16015625,4.677894796124423
0.91796875,0.23828125,0.51171875,0.66015625,0.99609375,0.76953125,0.39453125,0.83984375,0.32421875,0.41015625,5.514706959105793
0.41796875,0.73828125,0.01171875,0.16015625,0.49609375,0.26953125,0.89453125,0.33984375,0.82421875,0.91015625,4.629259617409072
0.29296875,0.11328125,0.38671875,0.03515625,0.37109375,0.14453125,0.26953125,0.96484375,0.44921875,0.03515625,2.8784494361765565
0.79296875,0.61328125,0.88671875,0.53515625,0.87109375,0.64453125,0.76953125,0.46484375,0.94921875,0.53515625,6.40584687915508
0.54296875,0.36328125,0.13671875,0.28515625,0.62109375,0.89453125,0.01953125,0.21484375,0.69921875,0.78515625,4.234745122679142
0.04296875,0.86328125,0.63671875,0.78515625,0.12109375,0.39453125,0.51953125,0.71484375,0.19921875,0.28515625,4.240788093573899
0.05859375,0.06640625,0.99609375,0.73828125,0.76171875,0.25390625,0.06640625,0.57421875,0.90234375,0.86328125,4.732939890815993
0.55859375,0.56640625,0.49609375,0.23828125,0.26171875,0.75390625,0.56640625,0.07421875,0.40234375,0.36328125,4.079529567242214
0.80859375,0.31640625,0.74609375,0.98828125,0.01171875,0.50390625,0.31640625,0.32421875,0.15234375,0.11328125,3.9374114075275215
0.30859375,0.81640625,0.24609375,0.48828125,0.51171875,0.00390625,0.81640625,0.82421875,0.65234375,0.61328125,4.884028464785818
0.43359375,0.44140625,0.37109375,0.36328125,0.63671875,0.37890625,0.44140625,0.44921875,0.02734375,0.48828125,3.8877114208216788
0.93359375,0.94140625,0.87109375,0.86328125,0.13671875,0.87890625,0.94140625,0.94921875,0.52734375,0.98828125,7.003166642696614
0.68359375,0.19140625,0.12109375,0.11328125,0.38671875,0.62890625,0.19140625,0.69921875,0.77734375,0.73828125,4.2293381535488335
0.18359375,0.69140625,0.62109375,0.61328125,0.88671875,0.12890625,0.69140625,0.19921875,0.27734375,0.23828125,4.2265752758129045
0.24609375,0.25390625,0.05859375,0.80078125,0.32421875,0.06640625,0.37890625,0.38671875,0.08984375,0.55078125,3.0163224079367277
0.74609375,0.75390625,0.55859375,0.30078125,0.82421875,0.56640625,0.87890625,0.88671875,0.58984375,0.05078125,5.612182690138739
0.99609375,0.00390625,0.30859375,0.55078125,0.57421875,0.81640625,0.12890625,0.63671875,0.83984375,0.30078125,4.706116053534133
0.49609375,0.50390625,0.80859375,0.05078125,0.07421875,0.31640625,0.62890625,0.13671875,0.33984375,0.80078125,3.8940176986565103
0.37109375,0.12890625,0.68359375,0.17578125,0.19921875,0.19140625,0.00390625,0.51171875,0.96484375,0.17578125,3.176208630703415
0.87109375,0.62890625,0.18359375,0.67578125,0.69921875,0.69140625,0.50390625,0.01171875,0.46484375,0.67578125,5.010965211020205
0.62109375,0.37890625,0.93359375,0.42578125,0.94921875,0.94140625,0.25390625,0.26171875,0.21484375,0.92578125,5.3121861576456
0.12109375,0.87890625,0.43359375,0.92578125,0.44921875,0.44140625,0.75390625,0.76171875,0.71484375,0.42578125,5.414728014312195
0.08984375,0.41015625,0.52734375,0.08203125,0.54296875,0.72265625,0.59765625,0.29296875,0.62109375,0.95703125,4.502626543450353
0.58984375,0.91015625,0.02734375,0.58203125,0.04296875,0.22265625,0.09765625,0.79296875,0.12109375,0.45703125,3.558694430619495
0.83984375,0.16015625,0.77734375,0.33203125,0.29296875,0.47265625,0.84765625,0.54296875,0.37109375,0.20703125,4.510014479797464
0.33984375,0.66015625,0.27734375,0.83203125,0.79296875,0.97265625,0.34765625,0.04296875,0.87109375,0.70703125,5.2967706995438
0.46484375,0.03515625,0.15234375,0.95703125,0.91796875,0.59765625,0.97265625,0.66796875,0.49609375,0.33203125,5.057483359183392
0.96484375,0.53515625,0.65234375,0.45703125,0.41796875,0.09765625,0.47265625,0.16796875,0.99609375,0.83203125,5.084765600969549
0.71484375,0.28515625,0.40234375,0.70703125,0.16796875,0.34765625,0.72265625,0.41796875,0.74609375,0.58203125,4.781619093726117
0.21484375,0.78515625,0.90234375,0.20703125,0.66796875,0.84765625,0.22265625,0.91796875,0.24609375,0.08203125,4.620338696813751
0.15234375,0.22265625,0.46484375,0.39453125,0.10546875,0.91015625,0.91015625,0.73046875,0.43359375,0.64453125,4.577884795277361
0.65234375,0.72265625,0.96484375,0.89453125,0.60546875,0.41015625,0.41015625,0.23046875,0.93359375,0.14453125,5.413184130466305
0.90234375,0.47265625,0.21484375,0.14453125,0.85546875,0.16015625,0.66015625,0.48046875,0.68359375,0.39453125,4.603002854886608
0.40234375,0.97265625,0.71484375,0.64453125,0.35546875,0.66015625,0.16015625,0.98046875,0.18359375,0.89453125,5.3882644593123405
0.27734375,0.34765625,0.83984375,0.51953125,0.48046875,0.78515625,0.53515625,0.35546875,0.55859375,0.01953125,4.432169332257851
0.77734375,0.84765625,0.33984375,0.01953125,0.98046875,0.28515625,0.03515625,0.85546875,0.05859375,0.51953125,4.261116618666424
0.52734375,0.09765625,0.58984375,0.76953125,0.73046875,0.03515625,0.78515625,0.60546875,0.30859375,0.76953125,4.830739547851012
0.02734375,0.59765625,0.08984375,0.26953125,0.23046875,0.53515625,0.28515625,0.10546875,0.80859375,0.26953125,3.060636023605276
0.01953125,0.19921875,0.59765625,0.90234375,0.25390625,0.87109375,0.46484375,0.03515625,0.64453125,0.80859375,4.388715226300737
0.51953125,0.69921875,0.09765625,0.40234375,0.75390625,0.37109375,0.96484375,0.53515625,0.14453125,0.30859375,4.455980106513755
0.76953125,0.44921875,0.84765625,0.65234375,0.50390625,0.12109375,0.21484375,0.78515625,0.39453125,0.05859375,4.453556783559097
0.26953125,0.94921875,0.34765625,0.15234375,0.00390625,0.62109375,0.71484375,0.28515625,0.89453125,0.55859375,4.404238878410499
0.39453125,0.32421875,0.22265625,0.02734375,0.12890625,0.99609375,0.08984375,0.91015625,0.26953125,0.43359375,3.4847457048292787
0.89453125,0.82421875,0.72265625,0.52734375,0.62890625,0.49609375,0.58984375,0.41015625,0.76953125,0.93359375,6.197352406040364
0.64453125,0.07421875,0.47265625,0.27734375,0.87890625,0.24609375,0.33984375,0.16015625,0.51953125,0.68359375,4.038556906750714
0.14453125,0.57421875,0.97265625,0.77734375,0.37890625,0.74609375,0.83984375,0.66015625,0.01953125,0.18359375,4.823533678260075
0.20703125,0.38671875,0.41015625,0.58984375,0.81640625,0.55859375,0.02734375,0.97265625,0.33203125,0.62109375,4.55798809948271
0.70703125,0.88671875,0.91015625,0.08984375,0.31640625,0.05859375,0.52734375,0.47265625,0.83203125,0.12109375,4.492209184637755
0.95703125,0.13671875,0.16015625,0.83984375,0.06640625,0.30859375,0.27734375,0.22265625,0.58203125,0.37109375,3.6348461650146127
0.45703125,0.63671875,0.66015625,0.33984375,0.56640625,0.80859375,0.77734375,0.72265625,0.08203125,0.87109375,5.452087200490796
0.33203125,0.01171875,0.78515625,0.46484375,0.69140625,0.68359375,0.40234375,0.09765625,0.70703125,0.24609375,4.144379697101621
0.83203125,0.51171875,0.28515625,0.96484375,0.19140625,0.18359375,0.90234375,0.59765625,0.20703125,0.74609375,4.93686738567759
0.58203125,0.26171875,0.53515625,0.21484375,0.44140625,0.43359375,0.15234375,0.84765625,0.45703125,0.99609375,4.561105969659978
0.08203125,0.76171875,0.03515625,0.71484375,0.94140625,0.93359375,0.65234375,0.34765625,0.95703125,0.49609375,5.316128802790068
0.11328125,0.29296875,0.87890625,0.30859375,0.03515625,0.15234375,0.99609375,0.81640625,0.86328125,0.90234375,4.775304021049107
0.61328125,0.79296875,0.37890625,0.80859375,0.53515625,0.65234375,0.49609375,0.31640625,0.36328125,0.40234375,5.03230721165963
0.86328125,0.04296875,0.62890625,0.05859375,0.78515625,0.90234375,0.74609375,0.06640625,0.11328125,0.15234375,3.9514001658263878
0.36328125,0.54296875,0.12890625,0.55859375,0.28515625,0.40234375,0.24609375,0.56640625,0.61328125,0.65234375,4.166275116035936
0.48828125,0.16796875,0.25390625,0.68359375,0.41015625,0.02734375,0.62109375,0.19140625,0.23828125,0.27734375,3.2271512240243108
0.98828125,0.66796875,0.75390625,0.18359375,0.91015625,0.52734375,0.12109375,0.69140625,0.73828125,0.77734375,5.747194806567314
